source_id,experiment_id,count
INM-CM4-8,ssp585,13
INM-CM5-0,historical,130
INM-CM5-0,ssp126,13
INM-CM5-0,ssp245,13
INM-CM5-0,ssp370,65
INM-CM5-0,ssp585,13
IPSL-CM5A2-INCA,historical,9
IPSL-CM5A2-INCA,ssp126,8
IPSL-CM5A2-INCA,ssp370,8
IPSL-CM6A-LR,historical,529
IPSL-CM6A-LR,ssp126,87
IPSL-CM6A-LR,ssp245,161
IPSL-CM6A-LR,ssp370,184
IPSL-CM6A-LR,ssp585,86
IPSL-CM6A-LR-INCA,historical,8
KACE-1-0-G,historical,39
KACE-1-0-G,ssp126,35
KACE-1-0-G,ssp245,39
KACE-1-0-G,ssp370,39
KACE-1-0-G,ssp585,37
KIOST-ESM,historical,11
KIOST-ESM,ssp126,11
KIOST-ESM,ssp245,11
KIOST-ESM,ssp585,11
MCM-UA-1-0,historical,10
MCM-UA-1-0,ssp126,5
MCM-UA-1-0,ssp245,5
MCM-UA-1-0,ssp370,5
MCM-UA-1-0,ssp585,5
MIROC-ES2H,historical,9
MIROC-ES2L,historical,301
MIROC-ES2L,ssp126,120
MIROC-ES2L,ssp245,306
MIROC-ES2L,ssp370,107
MIROC-ES2L,ssp585,114
MIROC6,historical,621
MIROC6,ssp126,591
MIROC6,ssp245,604
MIROC6,ssp370,39
MIROC6,ssp585,605
MPI-ESM-1-2-HAM,historical,45
MPI-ESM-1-2-HAM,ssp370,41
MPI-ESM1-2-HR,historical,149
MPI-ESM1-2-HR,ssp126,30
MPI-ESM1-2-HR,ssp245,30
MPI-ESM1-2-HR,ssp370,149
MPI-ESM1-2-HR,ssp585,30
MPI-ESM1-2-LR,historical,150
MPI-ESM1-2-LR,ssp126,150
MPI-ESM1-2-LR,ssp245,150
MPI-ESM1-2-LR,ssp370,150
MPI-ESM1-2-LR,ssp585,150
MRI-ESM2-0,historical,138
MRI-ESM2-0,ssp126,37
MRI-ESM2-0,ssp245,144
MRI-ESM2-0,ssp370,78
MRI-ESM2-0,ssp585,57
NESM3,historical,66
NESM3,ssp126,26
NESM3,ssp245,26
NESM3,ssp585,27
NorCPM1,historical,329
NorESM2-LM,historical,36
NorESM2-LM,ssp126,6
NorESM2-LM,ssp245,66
NorESM2-LM,ssp370,36
NorESM2-LM,ssp585,11
NorESM2-MM,historical,35
NorESM2-MM,ssp126,12
NorESM2-MM,ssp245,24
NorESM2-MM,ssp370,12
NorESM2-MM,ssp585,12
SAM0-UNICON,historical,15
TaiESM1,historical,14
TaiESM1,ssp126,5
TaiESM1,ssp245,10
TaiESM1,ssp370,5
TaiESM1,ssp585,10
UKESM1-0-LL,historical,225
UKESM1-0-LL,ssp126,205
UKESM1-0-LL,ssp245,145
UKESM1-0-LL,ssp370,192
UKESM1-0-LL,ssp585,71
